iter	Passed	Remaining
1425	27360	11013
1426	27378	10993
1427	27395	10973
1428	27415	10954
1429	27433	10935
1430	27454	10916
1431	27473	10897
1432	27491	10877
1433	27506	10856
1434	27523	10836
1435	27544	10818
1436	27562	10798
1437	27600	10786
1438	27627	10770
1439	27645	10750
1440	27659	10729
1441	27674	10709
1442	27689	10688
1443	27702	10666
1444	27721	10647
1445	27736	10626
1446	27755	10607
1447	27772	10587
1448	27788	10566
1449	27803	10546
1450	27821	10526
1451	27838	10506
1452	27858	10487
1453	27876	10468
1454	27896	10449
1455	27917	10430
1456	27934	10410
1457	27951	10390
1458	27968	10370
1459	27989	10352
1460	28006	10332
1461	28022	10312
1462	28040	10292
1463	28059	10273
1464	28076	10253
1465	28094	10233
1466	28113	10214
1467	28130	10194
1468	28148	10174
1469	28166	10155
1470	28182	10135
1471	28199	10115
1472	28216	10095
1473	28233	10075
1474	28255	10056
1475	28274	10037
1476	28291	10017
1477	28310	9998
1478	28329	9979
1479	28344	9958
1480	28365	9940
1481	28388	9922
1482	28407	9903
1483	28426	9884
1484	28444	9864
1485	28461	9844
1486	28477	9824
1487	28496	9805
1488	28512	9785
1489	28530	9765
1490	28547	9745
1491	28566	9726
1492	28584	9706
1493	28600	9686
1494	28618	9667
1495	28635	9647
1496	28652	9627
1497	28671	9608
1498	28690	9588
1499	28710	9570
1500	28729	9550
1501	28746	9531
1502	28764	9511
1503	28782	9492
1504	28796	9471
1505	28815	9452
1506	28834	9432
1507	28854	9414
1508	28869	9393
1509	28891	9375
1510	28909	9355
1511	28925	9335
1512	28944	9316
1513	28962	9297
1514	28983	9278
1515	29007	9260
1516	29024	9241
1517	29041	9221
1518	29062	9202
1519	29078	9182
1520	29099	9164
1521	29119	9145
1522	29139	9126
1523	29159	9107
1524	29177	9088
1525	29194	9068
1526	29213	9048
1527	29231	9029
1528	29250	9010
1529	29265	8990
1530	29284	8970
1531	29304	8951
1532	29319	8931
1533	29338	8912
1534	29357	8893
1535	29374	8873
1536	29396	8855
1537	29414	8835
1538	29430	8815
1539	29447	8796
1540	29467	8777
1541	29485	8757
1542	29504	8738
1543	29521	8718
1544	29539	8699
1545	29556	8679
1546	29572	8659
1547	29591	8640
1548	29609	8620
1549	29627	8601
1550	29648	8583
1551	29669	8564
1552	29686	8544
1553	29703	8524
1554	29724	8506
1555	29745	8487
1556	29768	8469
1557	29787	8450
1558	29810	8432
1559	29827	8412
1560	29842	8392
1561	29861	8373
1562	29878	8353
1563	29899	8335
1564	29916	8315
1565	29933	8295
1566	29952	8276
1567	29972	8257
1568	29992	8238
1569	30010	8219
1570	30031	8200
1571	30051	8181
1572	30069	8162
1573	30090	8143
1574	30107	8124
1575	30126	8105
1576	30143	8085
1577	30162	8066
1578	30179	8046
1579	30200	8027
1580	30222	8009
1581	30240	7990
1582	30259	7970
1583	30280	7952
1584	30301	7933
1585	30321	7915
1586	30340	7895
1587	30357	7876
1588	30374	7856
1589	30393	7837
1590	30413	7818
1591	30429	7798
1592	30451	7780
1593	30473	7761
1594	30490	7742
1595	30510	7723
1596	30524	7702
1597	30538	7682
1598	30556	7662
1599	30576	7644
1600	30596	7625
1601	30616	7606
1602	30635	7587
1603	30652	7567
1604	30667	7547
1605	30681	7527
1606	30697	7507
1607	30715	7487
1608	30734	7468
1609	30747	7448
1610	30765	7428
1611	30782	7409
1612	30798	7389
1613	30813	7369
1614	30827	7348
1615	30838	7328
1616	30852	7307
1617	30866	7287
1618	30882	7267
1619	30894	7246
1620	30909	7226
1621	30922	7206
1622	30936	7186
1623	30948	7165
1624	30961	7144
1625	30975	7124
1626	30988	7104
1627	31000	7083
1628	31015	7063
1629	31029	7043
1630	31045	7023
1631	31058	7003
1632	31071	6983
1633	31084	6962
1634	31097	6942
1635	31110	6921
1636	31121	6901
1637	31134	6880
1638	31146	6860
1639	31158	6839
1640	31172	6819
1641	31185	6799
1642	31195	6778
1643	31210	6758
1644	31222	6737
1645	31234	6717
1646	31247	6697
1647	31260	6677
1648	31273	6656
1649	31285	6636
1650	31297	6615
1651	31309	6595
1652	31323	6575
1653	31336	6555
1654	31348	6534
1655	31361	6514
1656	31374	6494
1657	31387	6474
1658	31400	6454
1659	31413	6434
1660	31425	6413
1661	31437	6393
1662	31449	6373
1663	31463	6353
1664	31475	6332
